group_id,sha256_short,risk_level,record_count,splits,classes,record_relative_paths,suggested_action,decision_status,chosen_class,action,remove_relative_paths,move_to_class,reviewer,reviewed_at,decision_note
cross_class_001,07ae9fdf7ba9735c,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya30.jpg;train\谷芽\GuyaGuya48.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_002,12db6b5de76c47d5,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya60.jpg;train\谷芽\GuyaGuya77.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_003,2141200648876bb4,label_conflict,2,"{""val"": 2}",稻芽;谷芽,val\稻芽\DaoyaDaoya16.jpg;val\谷芽\GuyaGuya15.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_004,2587a11d3a2dda00,label_conflict,2,"{""train"": 2}",橘核;龙眼肉,train\橘核\Juhe99.jpg;train\龙眼肉\Longyanrou105.jpg,人工核对图片真实类别；若 橘核、龙眼肉 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_005,25acee6cbf3714be,label_conflict,2,"{""train"": 2}",橘核;荔枝核,train\橘核\Juhe62.jpg;train\荔枝核\Lizhihe99.jpg,人工核对图片真实类别；若 橘核、荔枝核 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_006,299859d75e631846,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya42.jpg;train\谷芽\GuyaGuya45.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_007,342186e6c5550841,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya31.jpg;train\谷芽\GuyaGuya50.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_008,3429570c51f28958,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya96.jpg;train\谷芽\GuyaGuya90.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_009,3f273e9266fdd9c4,label_conflict,2,"{""train"": 2}",稻芽;谷芽,train\稻芽\DaoyaDaoya51.jpg;train\谷芽\GuyaGuya70.jpg,人工核对图片真实类别；若 稻芽、谷芽 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
cross_class_010,4e0ce76118116468,label_conflict,2,"{""train"": 2}",肉豆蔻;草豆蔻,train\肉豆蔻\Roudoukou34.jpg;train\草豆蔻\CaodoukouCaodoukouCaodoukou43.jpg,人工核对图片真实类别；若 肉豆蔻、草豆蔻 中只有一个正确目录，保留正确类别样本并移除或重标其他副本。,pending,,,,,,,
